parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.univ#1.year3",.34389457,.00572377,1246,60.081802,0,.33266527,.35512387,0,0,1
"0.male#0.univ#2.year3",.34572312,.00543419,1246,63.61996,0,.33506194,.35638429,0,0,2
"0.male#0.univ#3.year3",.33585191,.00531938,1246,63.137397,0,.32541598,.34628785,0,0,3
"0.male#0.univ#4.year3",.33136349,.00746298,1246,44.400989,6.14e-259,.31672211,.34600488,0,0,4
"0.male#0.univ#5.year3",.34085286,.0057592,1246,59.184094,0,.32955407,.35215166,0,0,5
"0.male#0.univ#6.year3",.33564635,.00560971,1246,59.833132,0,.32464084,.34665186,0,0,6
"0.male#0.univ#7.year3",.35293975,.00491661,1246,71.785197,0,.34329401,.3625855,0,0,7
"0.male#1.univ#1.year3",.41353259,.00355202,1246,116.42188,0,.40656399,.42050118,0,1,1
"0.male#1.univ#2.year3",.41702869,.0038666,1246,107.85417,0,.40944293,.42461445,0,1,2
"0.male#1.univ#3.year3",.41821127,.00407217,1246,102.69991,0,.4102222,.42620033,0,1,3
"0.male#1.univ#4.year3",.41733552,.00496978,1246,83.974697,0,.40758546,.42708557,0,1,4
"0.male#1.univ#5.year3",.43944468,.00457849,1246,95.980215,0,.43046227,.44842708,0,1,5
"0.male#1.univ#6.year3",.44265725,.00437637,1246,101.14715,0,.43407139,.45124312,0,1,6
"0.male#1.univ#7.year3",.45760117,.00402847,1246,113.59173,0,.44969783,.46550451,0,1,7
"1.male#0.univ#1.year3",.27326458,.00542799,1246,50.343643,1.37e-302,.26261558,.28391358,1,0,1
"1.male#0.univ#2.year3",.29039392,.0048677,1246,59.657308,0,.28084413,.29994372,1,0,2
"1.male#0.univ#3.year3",.26953114,.00490412,1246,54.960112,0,.25990989,.27915239,1,0,3
"1.male#0.univ#4.year3",.27560275,.00653165,1246,42.194988,2.28e-242,.26278851,.28841699,1,0,4
"1.male#0.univ#5.year3",.27647215,.00567042,1246,48.756897,4.33e-291,.26534752,.28759678,1,0,5
"1.male#0.univ#6.year3",.29005181,.0050977,1246,56.898554,0,.28005078,.30005283,1,0,6
"1.male#0.univ#7.year3",.30636294,.00503709,1246,60.821373,0,.29648082,.31624506,1,0,7
"1.male#1.univ#1.year3",.36195959,.0039958,1246,90.58504,0,.35412035,.36979883,1,1,1
"1.male#1.univ#2.year3",.36637687,.00432218,1246,84.766635,0,.35789732,.37485643,1,1,2
"1.male#1.univ#3.year3",.3735494,.00450391,1246,82.938838,0,.36471331,.38238549,1,1,3
"1.male#1.univ#4.year3",.35777861,.00537243,1246,66.595331,0,.34723861,.36831861,1,1,4
"1.male#1.univ#5.year3",.40270894,.00489505,1246,82.268565,0,.39310548,.41231239,1,1,5
"1.male#1.univ#6.year3",.38271978,.004931,1246,77.615099,0,.37304581,.39239375,1,1,6
"1.male#1.univ#7.year3",.41133172,.00460692,1246,89.285571,0,.40229354,.4203699,1,1,7
