year,sex,cod6,cont
0,0,1,-.2823144155408954
0,0,2,-.218269617515034
0,0,3,.087088718690211
0,0,4,.8644037635531276
0,0,5,.0621345865438343
0,0,6,-.1254853953432757
0,0,7,.3875576481223106
0,1,1,-.293967382167466
0,1,2,-.291090660582995
0,1,3,.068459254107438
0,1,4,1.319042830611579
0,1,5,.0530219187103285
0,1,6,-.1824895604513586
0,1,7,.6729764062911272
0,2,1,-.3011666267557302
0,2,2,-.3393126395530999
0,2,3,.099230247324158
0,2,4,.2884368022059789
0,2,5,.0673080848428071
0,2,6,-.1084224343067035
0,2,7,-.2939265407621861
1,0,1,.288861955399625
1,0,2,.627514325780794
1,0,3,.0482285508678615
1,0,4,.837488722987473
1,0,5,.0387560426215714
1,0,6,.477911836351268
1,0,7,2.318761454895139
1,1,1,.3074871414064546
1,1,2,.5785098344931612
1,1,3,.002004615211888
1,1,4,.9969013324007392
1,1,5,.0216945950087393
1,1,6,.4211481538368389
1,1,7,2.327745670452714
1,2,1,.2147960783040617
1,2,2,.5801845525857061
1,2,3,.0926118701463565
1,2,4,.5670072417706251
1,2,5,.0539682186781647
1,2,6,.5098741976544261
1,2,7,2.018442176282406
